X,Y,pop_defacto_2020
37406.23,23283.10,10.71
37606.23,23283.10,7.44
37806.23,23283.10,7.89
38006.23,23283.10,8.00
38206.23,23283.10,8.12
38406.23,23283.10,9.48
38606.23,23283.10,5.14
38806.23,23283.10,4.68
39006.23,23283.10,4.37
39206.23,23283.10,6.45
39406.23,23283.10,4.16
39606.23,23283.10,3.95
39806.23,23283.10,3.74
40006.23,23283.10,4.20
40206.23,23283.10,6.49
40406.23,23283.10,4.43
40606.23,23283.10,4.57
40806.23,23283.10,4.74
-24993.77,23083.10,10.92
-24793.77,23083.10,19.13
-24593.77,23083.10,16.20
-24393.77,23083.10,18.33
-24193.77,23083.10,24.92
-23993.77,23083.10,25.71
-23793.77,23083.10,35.31
-23593.77,23083.10,24.35
-23393.77,23083.10,24.56
-23193.77,23083.10,34.92
-22993.77,23083.10,76.37
-22793.77,23083.10,58.21
-22593.77,23083.10,54.25
-22393.77,23083.10,52.56
-22193.77,23083.10,63.90
-21993.77,23083.10,94.15
-21793.77,23083.10,62.77
-21593.77,23083.10,58.29
-21393.77,23083.10,66.82
-21193.77,23083.10,102.38
-20993.77,23083.10,90.13
-20793.77,23083.10,104.38
-20593.77,23083.10,140.02
-20393.77,23083.10,135.30
-20193.77,23083.10,214.69
-19993.77,23083.10,117.46
-19793.77,23083.10,95.01
-19593.77,23083.10,82.23
-19393.77,23083.10,139.04
-19193.77,23083.10,67.60
-18993.77,23083.10,72.67
-18793.77,23083.10,63.74
-18593.77,23083.10,58.27
-18393.77,23083.10,71.74
-18193.77,23083.10,51.68
-17993.77,23083.10,64.57
-17793.77,23083.10,98.91
-17593.77,23083.10,153.38
-17393.77,23083.10,105.84
-17193.77,23083.10,128.93
-16993.77,23083.10,174.48
-16793.77,23083.10,189.39
-16593.77,23083.10,260.06
-16393.77,23083.10,209.76
-16193.77,23083.10,193.57
-15993.77,23083.10,193.43
-15793.77,23083.10,204.93
-15593.77,23083.10,85.58
-15393.77,23083.10,84.13
-15193.77,23083.10,119.04
-14993.77,23083.10,160.55
-14793.77,23083.10,276.35
-14593.77,23083.10,163.54
-14393.77,23083.10,146.42
-14193.77,23083.10,133.45
-13993.77,23083.10,161.29
-13793.77,23083.10,109.32
-13593.77,23083.10,147.26
-13393.77,23083.10,153.38
-13193.77,23083.10,139.94
-12993.77,23083.10,181.65
-12793.77,23083.10,116.63
-12593.77,23083.10,151.51
-12393.77,23083.10,203.06
-12193.77,23083.10,273.40
-11993.77,23083.10,154.27
-11793.77,23083.10,170.63
-11593.77,23083.10,183.03
-11393.77,23083.10,176.38
-11193.77,23083.10,289.66
-10993.77,23083.10,243.80
-10793.77,23083.10,258.17
-10593.77,23083.10,204.88
-10393.77,23083.10,228.68
-10193.77,23083.10,100.05
-9993.77,23083.10,108.50
-9793.77,23083.10,125.38
-9593.77,23083.10,122.83
-9393.77,23083.10,177.35
-9193.77,23083.10,124.26
-8993.77,23083.10,124.32
-8793.77,23083.10,127.76
-8593.77,23083.10,192.19
-8393.77,23083.10,135.23
-8193.77,23083.10,156.96
-7993.77,23083.10,168.34
-7793.77,23083.10,202.96
-7593.77,23083.10,366.09
-7393.77,23083.10,230.33
-7193.77,23083.10,211.03
-6993.77,23083.10,170.32
-6793.77,23083.10,242.19
-6593.77,23083.10,185.96
-6393.77,23083.10,139.29
-6193.77,23083.10,126.16
-5993.77,23083.10,152.56
-5793.77,23083.10,321.49
-5593.77,23083.10,263.04
-5393.77,23083.10,220.00
-5193.77,23083.10,167.04
-4993.77,23083.10,293.39
-4793.77,23083.10,240.67
-4593.77,23083.10,289.29
-4393.77,23083.10,342.86
-4193.77,23083.10,257.20
-3993.77,23083.10,329.18
-3793.77,23083.10,251.71
-3593.77,23083.10,294.62
-3393.77,23083.10,415.39
-3193.77,23083.10,729.78
-2993.77,23083.10,427.58
-2793.77,23083.10,340.84
-2593.77,23083.10,237.70
-2393.77,23083.10,140.67
-2193.77,23083.10,396.16
-1993.77,23083.10,328.71
-1793.77,23083.10,430.67
-1593.77,23083.10,458.40
-1393.77,23083.10,540.68
-1193.77,23083.10,270.09
-993.77,23083.10,199.96
-793.77,23083.10,181.56
-593.77,23083.10,183.37
-393.77,23083.10,286.79
-193.77,23083.10,224.62
6.23,23083.10,277.55
206.23,23083.10,245.31
406.23,23083.10,326.23
606.23,23083.10,240.54
806.23,23083.10,307.96
1006.23,23083.10,409.08
1206.23,23083.10,444.03
1406.23,23083.10,574.37
1606.23,23083.10,356.76
1806.23,23083.10,319.97
2006.23,23083.10,257.59
2206.23,23083.10,373.90
2406.23,23083.10,224.63
2606.23,23083.10,202.32
2806.23,23083.10,229.70
3006.23,23083.10,198.03
3206.23,23083.10,306.25
3406.23,23083.10,188.47
3606.23,23083.10,171.77
3806.23,23083.10,154.69
4006.23,23083.10,180.74
4206.23,23083.10,183.89
4406.23,23083.10,174.70
4606.23,23083.10,222.85
4806.23,23083.10,254.02
5006.23,23083.10,528.03
5206.23,23083.10,474.85
5406.23,23083.10,464.41
5606.23,23083.10,431.56
5806.23,23083.10,832.51
6006.23,23083.10,670.12
6206.23,23083.10,675.67
6406.23,23083.10,630.68
6606.23,23083.10,585.04
6806.23,23083.10,867.84
7006.23,23083.10,536.61
7206.23,23083.10,478.85
7406.23,23083.10,450.69
7606.23,23083.10,704.28
7806.23,23083.10,473.96
8006.23,23083.10,482.69
8206.23,23083.10,532.91
8406.23,23083.10,555.75
8606.23,23083.10,763.86
8806.23,23083.10,448.54
9006.23,23083.10,391.94
9206.23,23083.10,389.51
9406.23,23083.10,565.54
9606.23,23083.10,354.79
9806.23,23083.10,337.80
10006.23,23083.10,271.64
10206.23,23083.10,241.71
10406.23,23083.10,344.70
10606.23,23083.10,292.61
10806.23,23083.10,354.31
11006.23,23083.10,345.97
11206.23,23083.10,465.27
11406.23,23083.10,256.93
11606.23,23083.10,188.43
11806.23,23083.10,180.34
12006.23,23083.10,160.78
12206.23,23083.10,212.53
12406.23,23083.10,141.37
12606.23,23083.10,173.47
12806.23,23083.10,207.52
13006.23,23083.10,325.11
13206.23,23083.10,252.93
13406.23,23083.10,281.01
13606.23,23083.10,250.75
13806.23,23083.10,189.38
14006.23,23083.10,204.95
14206.23,23083.10,100.67
14406.23,23083.10,93.52
14606.23,23083.10,113.85
14806.23,23083.10,238.67
15006.23,23083.10,216.56
15206.23,23083.10,221.05
15406.23,23083.10,230.74
15606.23,23083.10,215.23
15806.23,23083.10,276.32
16006.23,23083.10,188.02
16206.23,23083.10,182.22
16406.23,23083.10,148.17
16606.23,23083.10,163.21
16806.23,23083.10,87.53
17006.23,23083.10,70.20
17206.23,23083.10,69.23
17406.23,23083.10,85.36
17606.23,23083.10,178.07
17806.23,23083.10,118.77
18006.23,23083.10,119.60
18206.23,23083.10,122.47
18406.23,23083.10,171.50
18606.23,23083.10,113.50
18806.23,23083.10,110.82
19006.23,23083.10,114.69
19206.23,23083.10,112.30
19406.23,23083.10,178.95
19606.23,23083.10,115.80
19806.23,23083.10,153.14
20006.23,23083.10,173.79
20206.23,23083.10,236.67
20406.23,23083.10,137.28
20606.23,23083.10,124.92
20806.23,23083.10,72.02
21006.23,23083.10,59.05
21206.23,23083.10,59.45
21406.23,23083.10,29.91
21606.23,23083.10,30.52
21806.23,23083.10,42.57
22006.23,23083.10,50.77
22206.23,23083.10,95.84
22406.23,23083.10,76.53
22606.23,23083.10,143.63
22806.23,23083.10,182.53
23006.23,23083.10,287.34
23206.23,23083.10,175.65
23406.23,23083.10,150.50
23606.23,23083.10,150.93
23806.23,23083.10,161.42
24006.23,23083.10,243.05
24206.23,23083.10,181.35
24406.23,23083.10,190.33
24606.23,23083.10,130.00
24806.23,23083.10,250.49
25006.23,23083.10,173.78
25206.23,23083.10,129.57
25406.23,23083.10,100.06
25606.23,23083.10,99.45
25806.23,23083.10,102.46
26006.23,23083.10,56.50
26206.23,23083.10,51.54
26406.23,23083.10,46.14
26606.23,23083.10,82.29
26806.23,23083.10,62.12
27006.23,23083.10,68.04
27206.23,23083.10,71.40
27406.23,23083.10,76.56
27606.23,23083.10,147.33
27806.23,23083.10,83.87
28006.23,23083.10,106.50
28206.23,23083.10,89.99
28406.23,23083.10,104.32
28606.23,23083.10,55.64
28806.23,23083.10,45.48
29006.23,23083.10,40.64
29206.23,23083.10,37.72
29406.23,23083.10,56.78
29606.23,23083.10,37.94
29806.23,23083.10,40.43
30006.23,23083.10,43.60
30206.23,23083.10,65.64
30406.23,23083.10,47.19
30606.23,23083.10,49.13
30806.23,23083.10,42.48
31006.23,23083.10,41.62
31206.23,23083.10,59.46
31406.23,23083.10,44.85
31606.23,23083.10,57.65
31806.23,23083.10,74.55
32006.23,23083.10,108.42
32206.23,23083.10,77.24
32406.23,23083.10,101.06
32606.23,23083.10,100.92
32806.23,23083.10,85.71
33006.23,23083.10,91.09
33206.23,23083.10,50.02
33406.23,23083.10,31.80
33606.23,23083.10,26.89
33806.23,23083.10,38.29
34006.23,23083.10,26.41
34206.23,23083.10,26.73
34406.23,23083.10,26.23
34606.23,23083.10,27.38
34806.23,23083.10,50.35
35006.23,23083.10,29.18
35206.23,23083.10,18.32
35406.23,23083.10,15.77
35606.23,23083.10,23.29
35806.23,23083.10,16.22
36006.23,23083.10,16.16
36206.23,23083.10,15.47
36406.23,23083.10,14.69
36606.23,23083.10,18.32
